,0,1
0,thin,50514
1,able,21953
2,right,13745
3,good,13609
4,late,11466
5,mad,9773
6,small,6410
7,fit,6061
8,big,5545
9,better,5292
10,hot,5126
11,important,5037
12,bad,3923
13,fine,3775
14,free,3515
15,ready,3368
16,local,3290
17,tall,3261
18,nice,3091
19,available,2850
20,short,2675
21,easy,2546
22,interesting,2371
23,poor,2212
24,fat,2172
25,beautiful,2084
26,single,1947
27,strong,1937
28,quick,1928
29,happy,1752
30,fast,1717
31,sad,1625
32,rich,1611
33,odd,1596
34,successful,1449
35,slow,1401
36,social,1369
37,complex,1245
38,quiet,1235
39,terrible,1183
40,simple,1179
41,military,1137
42,normal,1113
43,clean,1022
44,loud,970
45,careful,959
46,strange,932
47,weak,848
48,impossible,844
49,criminal,782
50,awful,771
51,powerful,751
52,tough,701
53,smart,667
54,dangerous,666
55,attractive,639
56,slim,628
57,surprised,618
58,worried,614
59,comfortable,596
60,upset,588
61,welcome,539
62,silent,536
63,illegal,536
64,friendly,526
65,proud,508
66,horrible,504
67,gentle,490
68,sick,480
69,rude,460
70,crazy,456
71,faced,453
72,angry,453
73,violent,436
74,stupid,409
75,wealthy,406
76,capable,398
77,healthy,395
78,ugly,392
79,handsome,386
80,excited,383
81,gross,369
82,weird,363
83,scary,351
84,colorful,332
85,nervous,282
86,dirty,279
87,desperate,279
88,harsh,251
89,clever,246
90,emotional,238
91,disappointed,214
92,timid,205
93,dumb,202
94,intelligent,200
95,attached,198
96,respected,190
97,accent,185
98,brave,184
99,suspicious,183
100,polite,175
101,lazy,173
102,cautious,169
103,grateful,167
104,homeless,164
105,luxurious,156
106,annoying,131
107,frightened,115
108,hopeless,90
109,skinny,90
110,dishonest,86
111,ignorant,84
112,naive,83
113,athletic,82
114,prone,82
115,careless,82
116,greedy,78
117,fragile,75
118,trustworthy,75
119,gifted,69
120,supportive,63
121,intoxicated,62
122,spicy,58
123,irresponsible,54
124,impoverish,46
125,filthy,46
126,defiant,44
127,shoddy,41
128,manly,40
129,feminine,38
130,flamboyant,36
131,immature,34
132,sloppy,33
133,callous,33
134,overweight,31
135,masculine,31
136,crippled,28
137,uneducated,27
138,crafty,24
139,confrontational,23
140,muscular,22
141,retarded,20
142,rowdy,19
143,homemaker,16
144,burly,16
145,hardwork,16
146,disorganize,16
147,sneaky,15
148,uptight,15
149,studious,13
150,talkative,11
151,industrious,10
152,smelly,10
153,nerdy,9
154,slanted,6
155,pushy,5
156,scammer,3
157,possessive,3
158,unintelligent,3
159,snobby,1
160,sinewy,1
161,breadwinner,1
162,bossy,1
