,word,frequency
0,black,2132
1,white,2011
2,Japan,1903
3,India,1829
4,French,1784
5,Europe,1649
6,British,1483
7,France,1413
8,Indian,1182
9,Chinese,1171
10,Egypt,1146
11,German,1083
12,Spanish,987
13,Japanese,949
14,China,917
15,Greek,900
16,Italian,854
17,Russia,850
18,European,828
19,Spain,738
20,Italy,674
21,Arab,615
22,Africa,592
23,Egyptian,546
24,Russian,502
25,Irish,483
26,Britain,385
27,Scotland,372
28,Mexico,369
29,Germany,354
30,Scottish,326
31,Turkish,320
32,African,314
33,Portuguese,314
34,Iraq,313
35,Vietnam,313
36,Ireland,311
37,Poland,292
38,Mexican,250
39,Korea,249
40,Nepal,238
41,Greece,221
42,Jordan,219
43,Turkey,212
44,Australia,206
45,Portugal,203
46,Iran,194
47,Austria,159
48,Polish,157
49,Columbia,155
50,Korean,144
51,Singapore,138
52,Syria,133
53,Peru,128
54,Brazil,128
55,Hispanic,125
56,Pakistan,114
57,Argentina,111
58,Australian,102
59,Afghan,89
60,Indonesia,80
61,Albania,79
62,Iraqi,79
63,Taiwan,77
64,Vietnamese,74
65,Austrian,67
66,Saudi Arabia,67
67,Iranian,64
68,Lebanon,58
69,Afghanistan,54
70,Syrian,52
71,asian,51
72,Albanian,49
73,Nepali,49
74,Sweden,49
75,Brazilian,45
76,Swedish,41
77,Indonesian,40
78,Finland,35
79,Ethiopia,32
80,Sudan,32
81,Pakistani,29
82,Puerto Rican,29
83,Netherlands,28
84,Bengali,24
85,Somali,23
86,Somalia,23
87,Bangladesh,23
88,Ethiopian,21
89,Morocco,20
90,Venezuela,20
91,Norway,19
92,Chile,19
93,Romania,19
94,Guatemala,19
95,Yemen,15
96,Peruvian,14
97,African Americans,14
98,Taiwanese,13
99,Columbian,13
100,Yemeni,12
101,Jordanian,11
102,Sierra Leon,10
103,Nigerian,8
104,Laos,8
105,Venezuelan,7
106,Bolivia,7
107,Sudanese,7
108,Ukraine,7
109,Bolivian,6
110,Laotian,6
111,Lebanese,5
112,Ukrainian,4
113,Saudi Arabian,4
114,Finnish,4
115,Romanian,4
116,Ghana,4
117,Moroccan,3
118,Chilean,3
119,Ecuador,3
120,Liberia,3
121,Cameroon,3
122,Crimea,3
123,Guatemalan,3
124,Kenya,1
